Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0,0.452499,0.841533,0.085628,0.421824,1.315826,-0.106805,0.451047,0.788274,0.134238,0.46502,0.667636,0.151805,0.472104,0.594397,0.163274,0.042989,0.071889,0.134241,0.07389,0.099579,0.135062,0.120623,0.060036,0.131655,-0.065546,0.056051,0.136006,0.053837,0.310764,0.173157,0.048233,0.404027,0.177553,0.051731,0.328226,0.175044,0.061548,0.20004,0.166873,0.24755,0.547194,0.170392,0.347674,0.566962,0.168697,0.244577,0.548552,0.17108,0.150398,0.526068,0.1714
1,0.01,0.452393,0.841593,0.085498,0.421861,1.315803,-0.107161,0.451135,0.788386,0.13417,0.464829,0.667718,0.151748,0.471749,0.594465,0.163234,0.042959,0.071848,0.134195,0.073861,0.099541,0.134882,0.120593,0.05998,0.131665,-0.065576,0.056023,0.13604,0.053859,0.310773,0.173167,0.048247,0.404037,0.177537,0.05176,0.328235,0.175058,0.061571,0.200048,0.166905,0.24756,0.547189,0.170389,0.347681,0.56698,0.168736,0.244584,0.548554,0.17105,0.150415,0.526032,0.171381
2,0.02,0.45225,0.841666,0.08546,0.421847,1.31593,-0.107089,0.451019,0.788454,0.134126,0.464631,0.667771,0.151668,0.471503,0.594511,0.163133,0.042951,0.071818,0.13417,0.073864,0.0995,0.134823,0.120579,0.059919,0.131623,-0.06559,0.056036,0.136065,0.053853,0.310785,0.173164,0.048229,0.404049,0.177526,0.051756,0.328247,0.175058,0.061573,0.20006,0.166908,0.247553,0.547214,0.170349,0.347664,0.56705,0.168665,0.244577,0.548575,0.17102,0.150417,0.526016,0.171363
3,0.03,0.452255,0.841644,0.0853,0.421862,1.315752,-0.107633,0.451017,0.788471,0.134009,0.464634,0.667803,0.151649,0.471508,0.594552,0.163174,0.042953,0.071821,0.13419,0.073862,0.099506,0.134866,0.120583,0.059933,0.131654,-0.065587,0.056024,0.136049,0.053854,0.310763,0.17315,0.048229,0.404027,0.177498,0.051774,0.328225,0.175058,0.061558,0.200037,0.166895,0.247557,0.547225,0.170352,0.347669,0.567062,0.168703,0.244581,0.54859,0.17101,0.150422,0.526023,0.171342
4,0.04,0.452253,0.841638,0.085232,0.421846,1.315706,-0.107795,0.451032,0.788476,0.133955,0.464633,0.667809,0.151616,0.4715,0.59456,0.163154,0.042957,0.071841,0.134199,0.07386,0.099535,0.134795,0.120591,0.059962,0.13172,-0.065579,0.056027,0.136082,0.053857,0.310766,0.17314,0.048239,0.404031,0.17748,0.051762,0.328229,0.175031,0.061569,0.200039,0.166909,0.247546,0.547228,0.170325,0.347661,0.567047,0.168634,0.244572,0.548584,0.171015,0.150405,0.526054,0.171327
5,0.05,0.452248,0.841625,0.085166,0.421854,1.315687,-0.107879,0.451021,0.788464,0.13389,0.464624,0.667798,0.151556,0.471491,0.59455,0.163098,0.042949,0.071825,0.134205,0.073856,0.099512,0.134889,0.120581,0.059942,0.131702,-0.06559,0.05602,0.136023,0.053846,0.310779,0.173134,0.048233,0.404044,0.177467,0.051752,0.328241,0.175024,0.061552,0.200051,0.166911,0.247539,0.547244,0.170296,0.34765,0.567086,0.168636,0.244564,0.548602,0.170977,0.150403,0.526044,0.171275
6,0.06,0.452216,0.84169,0.085108,0.421811,1.315731,-0.107986,0.451006,0.788536,0.13384,0.464594,0.66787,0.151516,0.471452,0.594622,0.163063,0.042963,0.07184,0.134223,0.073863,0.099534,0.134951,0.120598,0.05998,0.131693,-0.065572,0.056008,0.136025,0.053855,0.31076,0.173103,0.04823,0.404025,0.177445,0.051746,0.328222,0.174981,0.06159,0.200034,0.166884,0.247544,0.547236,0.170289,0.347655,0.567077,0.168637,0.244569,0.548595,0.170965,0.150408,0.526036,0.171264
7,0.07,0.452213,0.841712,0.085117,0.421782,1.315711,-0.108077,0.451018,0.788571,0.133862,0.464599,0.667907,0.151561,0.471453,0.594661,0.163124,0.042955,0.071813,0.134166,0.073849,0.099515,0.134816,0.120593,0.059961,0.131694,-0.065578,0.055962,0.135989,0.05385,0.310782,0.173096,0.048238,0.404047,0.177445,0.051747,0.328244,0.174979,0.061567,0.200055,0.166865,0.247543,0.547241,0.170259,0.347658,0.567062,0.168618,0.244567,0.548606,0.170919,0.150405,0.526055,0.171241
8,0.08,0.452221,0.841679,0.085039,0.421796,1.315645,-0.108237,0.451025,0.788546,0.133793,0.464605,0.667885,0.151512,0.471459,0.594641,0.163087,0.04299,0.071864,0.134217,0.073894,0.099551,0.135009,0.120622,0.059999,0.131648,-0.065548,0.056043,0.135994,0.05384,0.310766,0.173065,0.048203,0.40403,0.177389,0.051761,0.328228,0.174971,0.061557,0.200039,0.166835,0.247542,0.547248,0.170246,0.347649,0.567108,0.168586,0.244566,0.548607,0.170923,0.15041,0.52603,0.171228
9,0.09,0.452224,0.841654,0.084968,0.421783,1.315615,-0.108318,0.451033,0.788522,0.133724,0.464613,0.667862,0.151445,0.471467,0.594618,0.163022,0.042957,0.07179,0.134161,0.073862,0.099479,0.13485,0.120589,0.059913,0.131633,-0.065581,0.055978,0.136001,0.053925,0.310692,0.173098,0.048437,0.403961,0.177519,0.051779,0.328155,0.174925,0.061559,0.19996,0.16685,0.24753,0.547237,0.170198,0.347643,0.567067,0.168555,0.244552,0.548606,0.170844,0.150394,0.526039,0.171194
10,0.1,0.452218,0.841677,0.084941,0.421796,1.315607,-0.108423,0.451023,0.788553,0.133705,0.464601,0.667895,0.151446,0.471453,0.594652,0.163035,0.042973,0.071842,0.134234,0.073892,0.099517,0.134854,0.120597,0.059923,0.131662,-0.065571,0.056087,0.136185,0.053849,0.310798,0.173023,0.048231,0.404064,0.177351,0.051772,0.328261,0.174929,0.061543,0.20007,0.16679,0.247532,0.547251,0.170196,0.347645,0.567078,0.16851,0.244556,0.548616,0.170857,0.150395,0.526059,0.17122
11,0.11,0.452217,0.841672,0.084857,0.421805,1.315551,-0.108634,0.451033,0.788563,0.133638,0.464594,0.667908,0.151409,0.471437,0.594667,0.163016,0.04296,0.071778,0.134105,0.073862,0.099468,0.134849,0.120592,0.059915,0.131505,-0.065575,0.055949,0.135962,0.053718,0.310875,0.172984,0.048212,0.404148,0.177285,0.051743,0.328342,0.174955,0.061199,0.200134,0.166711,0.247533,0.547277,0.170207,0.347644,0.567116,0.168523,0.244559,0.548632,0.170896,0.150397,0.526082,0.171203
12,0.12,0.452215,0.8417,0.084862,0.421805,1.315564,-0.108666,0.451018,0.788592,0.133644,0.464593,0.667941,0.151427,0.471445,0.594702,0.163041,0.042957,0.07183,0.134203,0.073865,0.099517,0.134867,0.120588,0.059944,0.131675,-0.065582,0.056029,0.136066,0.053824,0.310818,0.17301,0.048198,0.404086,0.177269,0.051752,0.328283,0.174908,0.061523,0.200086,0.166852,0.24752,0.547276,0.170169,0.347628,0.56713,0.168506,0.244544,0.548634,0.170847,0.150387,0.526064,0.171152
13,0.13,0.452209,0.841733,0.084825,0.421794,1.315567,-0.108775,0.451008,0.788633,0.133615,0.46459,0.667985,0.151418,0.471444,0.594748,0.163044,0.042947,0.071762,0.134136,0.073855,0.099449,0.134791,0.120578,0.059874,0.131617,-0.065592,0.055964,0.136002,0.053823,0.310833,0.17302,0.048204,0.4041,0.177317,0.051737,0.328297,0.174911,0.061527,0.200103,0.166831,0.247523,0.547326,0.170166,0.347629,0.567188,0.168497,0.244547,0.548689,0.170827,0.150394,0.526099,0.171175
14,0.14,0.452212,0.8417,0.084754,0.421828,1.315494,-0.108951,0.451028,0.788613,0.133559,0.464578,0.667965,0.151384,0.471415,0.594729,0.163024,0.042946,0.07179,0.134159,0.073853,0.099477,0.134884,0.120578,0.059912,0.131619,-0.065593,0.055982,0.135974,0.053837,0.310851,0.173013,0.048202,0.404119,0.17728,0.051762,0.328315,0.174911,0.061547,0.20012,0.166846,0.247522,0.547297,0.170144,0.347627,0.567164,0.168485,0.244546,0.548656,0.170819,0.150392,0.52607,0.171129
15,0.15,0.452214,0.841746,0.084724,0.421843,1.315497,-0.109087,0.450996,0.788666,0.133535,0.464581,0.668027,0.151394,0.471437,0.594796,0.163054,0.042955,0.071796,0.134163,0.073851,0.099497,0.134813,0.120592,0.059942,0.131671,-0.065577,0.055949,0.136005,0.053852,0.3108,0.172926,0.048238,0.40407,0.177181,0.05177,0.328265,0.174813,0.061547,0.200067,0.166784,0.247503,0.547307,0.170149,0.347611,0.567163,0.16848,0.244527,0.548671,0.170809,0.150373,0.526087,0.171159
